,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,norm_value,pIC50
66,,,,,409.28700000000003,4.105200000000003,2.0,3.0,,
67,,,,,380.4510000000001,4.495900000000003,2.0,3.0,,
68,,,,,366.42400000000004,3.886280000000003,1.0,4.0,,
69,,,,,364.33700000000016,-0.24810000000000076,5.0,8.0,,
70,,,,,437.8890000000001,6.454000000000004,1.0,2.0,,
71,,,,,452.90400000000017,5.502100000000005,1.0,3.0,,
72,,,,,452.57300000000026,7.133200000000006,1.0,2.0,,
73,,,,,491.60700000000037,5.311400000000005,1.0,5.0,,
74,,,,,443.00600000000014,6.484200000000006,1.0,2.0,,
75,,,,,382.52300000000014,5.732700000000006,1.0,2.0,,
76,,,,,410.92000000000013,6.119600000000005,1.0,2.0,,
78,,,,,410.92000000000013,6.119600000000005,1.0,2.0,,
79,,,,,446.97500000000025,5.668100000000004,1.0,3.0,,
80,,,,,425.9350000000002,6.511300000000005,2.0,2.0,,
81,,,,,424.9470000000002,6.048500000000004,1.0,2.0,,
82,,,,,424.9470000000002,6.367200000000005,1.0,2.0,,
83,,,,,410.92000000000013,6.575900000000004,1.0,2.0,,
